Format Version,1.23,Take Name,rec4,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-12-18 04.41.51.694 PM,Total Frames in Take,7268,Total Exported Frames,7268,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F","636DE25121A511EAA8B64249E5500F9F"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.004982,0.997450,-0.020878,0.068058,-1.605934,1.325930,0.141908,0.001530
1,0.008333,0.004757,0.997437,-0.021347,0.068131,-1.605975,1.325969,0.141894,0.001540
2,0.016667,0.005014,0.997454,-0.020742,0.068049,-1.605927,1.325915,0.141918,0.001531
3,0.025000,0.004876,0.997445,-0.021109,0.068074,-1.605940,1.325946,0.141910,0.001530
4,0.033333,0.005034,0.997454,-0.020780,0.068039,-1.605924,1.325922,0.141921,0.001528
5,0.041667,0.004947,0.997450,-0.020906,0.068063,-1.605939,1.325933,0.141917,0.001534
6,0.050000,0.005052,0.997458,-0.020691,0.068006,-1.605903,1.325914,0.141925,0.001522
7,0.058333,,,,,,,,
8,0.066667,0.004914,0.997446,-0.021042,0.068076,-1.605939,1.325942,0.141915,0.001534
9,0.075000,0.004810,0.997442,-0.021200,0.068090,-1.605951,1.325952,0.141912,0.001538
10,0.083333,0.005109,0.997459,-0.020589,0.068009,-1.605901,1.325905,0.141934,0.001525
11,0.091667,0.004957,0.997453,-0.020826,0.068037,-1.605924,1.325923,0.141926,0.001527
12,0.100000,0.004878,0.997446,-0.021013,0.068087,-1.605937,1.325940,0.141921,0.001538
13,0.108333,0.005151,0.997462,-0.020510,0.067989,-1.605893,1.325897,0.141937,0.001518
14,0.116667,0.004825,0.997445,-0.021113,0.068076,-1.605945,1.325950,0.141910,0.001534
15,0.125000,0.005045,0.997456,-0.020731,0.068018,-1.605921,1.325917,0.141923,0.001524
16,0.133333,0.004923,0.997452,-0.020913,0.068028,-1.605931,1.325934,0.141917,0.001526
17,0.141667,0.005033,0.997458,-0.020698,0.068006,-1.605909,1.325917,0.141923,0.001523
18,0.150000,0.004878,0.997446,-0.021044,0.068077,-1.605945,1.325941,0.141910,0.001533
19,0.158333,0.004858,0.997447,-0.021040,0.068075,-1.605944,1.325946,0.141909,0.001539
20,0.166667,0.004953,0.997452,-0.020871,0.068034,-1.605927,1.325929,0.141915,0.001529
21,0.175000,0.004728,0.997439,-0.021321,0.068104,-1.605964,1.325971,0.141897,0.001540
22,0.183333,0.004915,0.997448,-0.020984,0.068068,-1.605941,1.325939,0.141908,0.001534
23,0.191667,0.004671,0.997436,-0.021416,0.068122,-1.605978,1.325976,0.141893,0.001550
24,0.200000,0.004889,0.997447,-0.021026,0.068076,-1.605938,1.325943,0.141908,0.001533
25,0.208333,0.004789,0.997442,-0.021222,0.068095,-1.605958,1.325958,0.141899,0.001537
26,0.216667,0.004719,0.997435,-0.021432,0.068132,-1.605973,1.325978,0.141892,0.001545
27,0.225000,0.005062,0.997459,-0.020624,0.068002,-1.605905,1.325910,0.141925,0.001522
28,0.233333,0.004859,0.997446,-0.021060,0.068078,-1.605947,1.325948,0.141904,0.001531
29,0.241667,0.004898,0.997447,-0.021018,0.068072,-1.605940,1.325942,0.141914,0.001538
30,0.250000,0.005012,0.997453,-0.020798,0.068049,-1.605919,1.325921,0.141918,0.001526
31,0.258333,0.004806,0.997442,-0.021177,0.068100,-1.605964,1.325960,0.141907,0.001542
32,0.266667,0.005020,0.997458,-0.020720,0.068000,-1.605917,1.325920,0.141922,0.001523
33,0.275000,0.004746,0.997440,-0.021283,0.068102,-1.605965,1.325968,0.141911,0.001544
34,0.283333,0.004944,0.997452,-0.020876,0.068042,-1.605925,1.325931,0.141925,0.001527
35,0.291667,0.004908,0.997449,-0.020981,0.068060,-1.605934,1.325939,0.141916,0.001529
36,0.300000,0.004908,0.997451,-0.020907,0.068042,-1.605933,1.325933,0.141919,0.001527
37,0.308333,0.004907,0.997447,-0.020971,0.068084,-1.605943,1.325944,0.141917,0.001538
38,0.316667,0.004710,0.997433,-0.021440,0.068158,-1.605983,1.325976,0.141896,0.001546
39,0.325000,0.004935,0.997449,-0.020912,0.068072,-1.605939,1.325937,0.141918,0.001536
40,0.333333,0.004655,0.997433,-0.021472,0.068156,-1.605986,1.325985,0.141894,0.001545
41,0.341667,0.004776,0.997439,-0.021280,0.068121,-1.605962,1.325964,0.141902,0.001538
42,0.350000,0.004962,0.997452,-0.020866,0.068047,-1.605926,1.325933,0.141920,0.001528
43,0.358333,0.005014,0.997458,-0.020696,0.068008,-1.605918,1.325921,0.141921,0.001525
44,0.366667,0.004848,0.997444,-0.021123,0.068092,-1.605957,1.325954,0.141904,0.001532
45,0.375000,0.005048,0.997456,-0.020716,0.068020,-1.605909,1.325918,0.141919,0.001523
46,0.383333,0.004975,0.997454,-0.020787,0.068039,-1.605931,1.325927,0.141913,0.001527
47,0.391667,0.004794,0.997442,-0.021204,0.068101,-1.605961,1.325961,0.141896,0.001536
48,0.400000,0.004939,0.997452,-0.020910,0.068036,-1.605930,1.325929,0.141904,0.001522
49,0.408333,0.005041,0.997455,-0.020723,0.068035,-1.605924,1.325922,0.141908,0.001524
50,0.416667,0.004776,0.997441,-0.021221,0.068102,-1.605964,1.325960,0.141890,0.001534
51,0.425000,0.004767,0.997439,-0.021265,0.068123,-1.605964,1.325962,0.141892,0.001540
52,0.433333,0.005039,0.997455,-0.020703,0.068036,-1.605927,1.325919,0.141915,0.001526
53,0.441667,0.004774,0.997441,-0.021250,0.068091,-1.605967,1.325965,0.141893,0.001535
54,0.450000,0.004779,0.997440,-0.021233,0.068122,-1.605965,1.325963,0.141897,0.001544
55,0.458333,0.004673,0.997435,-0.021430,0.068138,-1.605986,1.325977,0.141891,0.001546
56,0.466667,0.004737,0.997438,-0.021301,0.068121,-1.605973,1.325967,0.141896,0.001542
57,0.475000,0.005112,0.997459,-0.020589,0.068015,-1.605909,1.325905,0.141923,0.001519
58,0.483333,0.004819,0.997441,-0.021199,0.068106,-1.605965,1.325957,0.141898,0.001534
59,0.491667,0.004490,0.997427,-0.021734,0.068173,-1.606015,1.326001,0.141875,0.001544
60,0.500000,0.004826,0.997441,-0.021158,0.068119,-1.605972,1.325956,0.141904,0.001539
61,0.508333,0.004858,0.997447,-0.021028,0.068072,-1.605950,1.325939,0.141909,0.001531
62,0.516667,0.004976,0.997456,-0.020774,0.068017,-1.605926,1.325920,0.141916,0.001522
63,0.525000,0.005084,0.997456,-0.020630,0.068049,-1.605922,1.325908,0.141927,0.001530
64,0.533333,0.005014,0.997455,-0.020710,0.068041,-1.605924,1.325915,0.141919,0.001524
65,0.541667,0.004936,0.997448,-0.020968,0.068063,-1.605950,1.325939,0.141916,0.001536
66,0.550000,0.004856,0.997446,-0.021084,0.068066,-1.605959,1.325950,0.141904,0.001535
67,0.558333,0.005110,0.997460,-0.020592,0.067989,-1.605911,1.325904,0.141924,0.001523
68,0.566667,0.005025,0.997454,-0.020769,0.068037,-1.605931,1.325920,0.141917,0.001530
69,0.575000,0.004947,0.997455,-0.020828,0.068015,-1.605928,1.325922,0.141906,0.001519
70,0.583333,0.005076,0.997456,-0.020669,0.068039,-1.605922,1.325911,0.141919,0.001527
71,0.591667,0.005053,0.997457,-0.020659,0.068029,-1.605928,1.325915,0.141908,0.001524
72,0.600000,0.004976,0.997454,-0.020818,0.068024,-1.605930,1.325925,0.141911,0.001528
73,0.608333,0.004925,0.997451,-0.020903,0.068054,-1.605941,1.325933,0.141902,0.001534
74,0.616667,0.005225,0.997466,-0.020307,0.067988,-1.605897,1.325885,0.141926,0.001521
75,0.625000,0.004850,0.997444,-0.021119,0.068090,-1.605954,1.325953,0.141892,0.001532
76,0.633333,0.005137,0.997462,-0.020467,0.068002,-1.605906,1.325897,0.141914,0.001516
77,0.641667,0.004903,0.997448,-0.020998,0.068062,-1.605944,1.325936,0.141903,0.001530
78,0.650000,0.004911,0.997448,-0.020981,0.068068,-1.605943,1.325936,0.141901,0.001529
79,0.658333,0.005069,0.997456,-0.020693,0.068034,-1.605924,1.325913,0.141909,0.001520
80,0.666667,0.005093,0.997459,-0.020579,0.068021,-1.605913,1.325903,0.141925,0.001523
81,0.675000,0.004837,0.997443,-0.021118,0.068103,-1.605966,1.325947,0.141898,0.001534
82,0.683333,0.005083,0.997462,-0.020535,0.067988,-1.605914,1.325902,0.141926,0.001519
83,0.691667,0.004815,0.997440,-0.021201,0.068120,-1.605973,1.325958,0.141902,0.001537
84,0.700000,0.005008,0.997453,-0.020793,0.068046,-1.605931,1.325924,0.141918,0.001521
85,0.708333,0.004954,0.997448,-0.020951,0.068073,-1.605939,1.325932,0.141914,0.001529
86,0.716667,0.004946,0.997450,-0.020936,0.068052,-1.605937,1.325934,0.141919,0.001526
87,0.725000,0.004702,0.997433,-0.021444,0.068151,-1.605996,1.325981,0.141892,0.001543
88,0.733333,0.004864,0.997443,-0.021127,0.068094,-1.605959,1.325953,0.141912,0.001533
89,0.741667,0.004993,0.997453,-0.020827,0.068030,-1.605933,1.325930,0.141918,0.001521
90,0.750000,0.004751,0.997437,-0.021361,0.068125,-1.605982,1.325978,0.141900,0.001538
91,0.758333,0.004814,0.997444,-0.021135,0.068087,-1.605959,1.325954,0.141915,0.001540
92,0.766667,0.004921,0.997446,-0.021046,0.068080,-1.605950,1.325945,0.141908,0.001532
93,0.775000,0.004908,0.997448,-0.020992,0.068062,-1.605944,1.325941,0.141905,0.001526
94,0.783333,0.004640,0.997433,-0.021487,0.068142,-1.605991,1.325989,0.141896,0.001551
95,0.791667,0.004563,0.997429,-0.021675,0.068153,-1.605995,1.326002,0.141888,0.001548
96,0.800000,0.004730,0.997438,-0.021333,0.068115,-1.605971,1.325976,0.141897,0.001543
97,0.808333,0.004754,0.997441,-0.021293,0.068084,-1.605965,1.325969,0.141902,0.001540
98,0.816667,0.004810,0.997444,-0.021169,0.068074,-1.605956,1.325961,0.141908,0.001538
99,0.825000,0.004852,0.997446,-0.021080,0.068075,-1.605954,1.325954,0.141909,0.001536
100,0.833333,0.004627,0.997435,-0.021489,0.068121,-1.605985,1.325984,0.141891,0.001546
101,0.841667,0.004831,0.997443,-0.021168,0.068091,-1.605954,1.325958,0.141904,0.001534
102,0.850000,0.004794,0.997441,-0.021267,0.068097,-1.605957,1.325966,0.141901,0.001536
103,0.858333,0.004679,0.997434,-0.021498,0.068127,-1.605985,1.325983,0.141888,0.001538
104,0.866667,0.004921,0.997451,-0.020932,0.068039,-1.605926,1.325933,0.141922,0.001529
